CURRENCIES
USD,
EUR,
GBP,
JPY,
CHF,
AUD,
CAD,
CNY,
HKD,
NZD,
SEK,
SGD,
NOK,
MXN,
INR,
BRL,
ZAR,
AED,
SAR,
KRW,
TRY,
PLN,
DKK,
ILS,
THB,
MYR,
PHP,
TWD,
CZK,
HUF,
IDR
